Tree name	Trait species	Non-trait species	Permutations	Selective Pressure	p-value	FDR
7985	4	4	5567862	accelerated	0.043748105170746565	0.7463199056823643
4671	5	4	5567862	constrained	0.043908056215644635	0.7462743332355305
7804	4	5	10845863	constrained	0.04392017563425015	0.7437257785445534
3479	5	5	20845863	constrained	0.04406283094938669	0.7433982765688806
6967	4	5	5567862	accelerated	0.04408104804196422	0.7409814266101604
1566	4	5	8845863	accelerated	0.044115987355173525	0.7388622845725961
6786	4	4	10845863	constrained	0.044146883556365736	0.7366910859642268
649	4	4	3074060	constrained	0.044291818696220564	0.7364317246266529
4834	5	4	10845863	constrained	0.04452428827082108	0.7376244002700287
5870	5	5	20845863	accelerated	0.044669648776184734	0.7373705691867328
6585	5	5	20845863	constrained	0.0449107519937415	0.7386933365565582
416	4	5	10845863	constrained	0.04499724419391289	0.7374726914495224
8092	4	5	8845863	constrained	0.045099390884742734	0.736516387082151
6320	5	5	20845863	accelerated	0.04518594551975341	0.7353131347168383
7914	4	4	3881501	accelerated	0.04524638939204462	0.7336949855833665
5107	5	5	20845863	constrained	0.04527035108823088	0.7314987364221531
6190	5	5	20845863	accelerated	0.04548046498183744	0.7323152764970247
5879	4	4	10845863	constrained	0.045829596131579234	0.735356701565794
1279	5	5	20845863	accelerated	0.046295215790926325	0.7402395305385397
7291	5	5	20845863	accelerated	0.046295215790926325	0.7376692543908364
5831	5	5	20845863	accelerated	0.04637093291558725	0.7363190697219028
6550	5	4	10845863	constrained	0.04639772054988417	0.7342039296669601
5285	5	5	20845863	constrained	0.046583477682938725	0.7346102374123912
5245	4	5	10845863	accelerated	0.04659549713860278	0.732283343729617
5502	5	4	5567862	accelerated	0.04675117435656473	0.732222317823466
5936	5	5	20845863	accelerated	0.046903064038837816	0.7321025880075739
6711	5	5	20845863	accelerated	0.046979260993186056	0.7308061989753586
7084	5	5	20845863	constrained	0.047108152808800804	0.7303355177013071
8399	5	4	4750372	accelerated	0.04729417600710151	0.7307507531871678
5103	4	4	10845863	constrained	0.04752025184025128	0.7317799855533996
5711	5	5	20845863	constrained	0.047781693710775855	0.733345125213212
5031	5	4	10845863	accelerated	0.04785688837605506	0.7320508691923889
2084	5	4	6850431	constrained	0.04786471592772741	0.7297381441606017
6835	5	5	20845863	accelerated	0.047908019335984764	0.7279798037511062
4471	5	4	5567862	constrained	0.04829556678555138	0.7314467194022947
4982	5	4	10845863	accelerated	0.04831648306556857	0.7293563841707045
5924	5	5	20845863	constrained	0.04837303231241018	0.7278158861693452
5720	4	4	3074060	accelerated	0.048434978836464415	0.7263663983024027
6624	5	5	20845863	constrained	0.04859642689524981	0.7264136906263888
6763	5	5	20845863	accelerated	0.0487669144763081	0.7265953588694086
124	5	5	20845863	accelerated	0.04884330336253129	0.7253783790636119
8037	4	5	8845863	accelerated	0.04886673106538564	0.7233852543840474
4096	5	5	20845863	constrained	0.04904887526246945	0.7237469086156665
7682	4	5	8845863	accelerated	0.04909277709691384	0.7220729298004411
374	5	4	5567862	accelerated	0.04912000494314661	0.7201651842942486
2618	5	4	10845863	constrained	0.049179394272254956	0.7187396188387835
356	5	4	6850431	constrained	0.04926835617093945	0.7177539252966385
105	5	4	5567862	accelerated	0.04996924902969191	0.7256610246748613
3404	5	5	20845863	accelerated	0.05042088740853967	0.7299099442201532
2833	5	4	10845863	accelerated	0.05082036083810437	0.7333793581322672
4914	5	5	20845863	constrained	0.05089281577793063	0.7321226696079112
3777	5	5	20845863	constrained	0.05096772825933799	0.7309090780690689
8776	5	4	5567862	accelerated	0.051237726554899776	0.7324919849234738
5150	5	5	20845863	constrained	0.052065997032851856	0.7420213055396185
1028	5	5	20845863	constrained	0.05222723631741752	0.7420148218595325
7019	5	5	20845863	constrained	0.05246463502610283	0.7430870683172404
7687	4	4	10845863	accelerated	0.05246572974943098	0.7408161040619654
7000	5	5	20845863	accelerated	0.05251083359468056	0.7391785747422978
2810	4	5	10845863	constrained	0.05281304205968394	0.7411591743482863
1613	4	5	5567862	constrained	0.053291297416083766	0.7455907434219768
5760	5	5	20845863	constrained	0.053510915880381364	0.7463878205929182
7992	5	4	10845863	accelerated	0.053528666918942536	0.7443728863364464
6672	4	4	8845863	constrained	0.0535653747718444	0.7426329450996796
5311	5	5	20845863	constrained	0.05359177531933963	0.7407610148808722
5943	4	5	5567862	accelerated	0.05368203864830812	0.7397804064777356
6167	5	5	20845863	constrained	0.05383579241626708	0.7396779981983521
1535	4	4	10845863	constrained	0.0538360171700658	0.7374730829654685
5352	5	4	4750372	constrained	0.05398834261285596	0.7373586436023691
1445	5	5	20845863	constrained	0.0540747258236752	0.7363469341390074
4573	4	4	3074060	accelerated	0.05435966548499138	0.7380369967769984
2375	5	5	20845863	accelerated	0.05457362142051847	0.7387561908517972
7343	5	5	20845863	constrained	0.05481128529195581	0.73979114177878
5490	4	4	6850431	accelerated	0.054939798861357025	0.7393511348233648
144	5	5	20845863	constrained	0.05497156538981971	0.7376155367657388
5716	5	4	4750372	accelerated	0.05519745350065752	0.7384872131618582
5673	5	5	20845863	accelerated	0.05525104497309308	0.7370553644811748
1383	5	4	5567862	constrained	0.055297945215319944	0.7355428133133426
1842	5	4	10845863	accelerated	0.055638632743621574	0.7379355076892468
6189	5	4	10845863	accelerated	0.055638632743621574	0.7358088923933124
1193	5	5	20845863	constrained	0.05636766163422969	0.7433080437916092
6985	5	5	20845863	accelerated	0.056372502918324185	0.7412418793472484
3420	5	5	20845863	constrained	0.056454563949409044	0.7401999827538231
6417	5	5	20845863	accelerated	0.05654409001451388	0.7392616213008667
2661	5	4	5567862	constrained	0.056582006051428525	0.7376557550284247
4400	5	5	20845863	constrained	0.05662520326365194	0.7361276424274753
982	5	5	20845863	constrained	0.05721251328113887	0.7416616481557804
2220	5	5	20845863	accelerated	0.057329763144550405	0.7410881213249065
8622	4	5	8845863	constrained	0.05733842624507001	0.7391180843781637
3774	5	5	20845863	accelerated	0.057499526887928254	0.739118568315694
1091	4	4	6850431	constrained	0.05764134423885748	0.7388718679109413
6677	5	5	20845863	accelerated	0.05802628391868081	0.7417343089215216
427	5	5	20845863	constrained	0.058490054049211454	0.7455857167550871
52	5	4	6850431	accelerated	0.05850286844916219	0.743683277875915
6780	5	5	20845863	constrained	0.058578682900453975	0.7425899884811693
6176	5	5	20845863	accelerated	0.058637778872215995	0.7412913698198325
8820	5	4	10845863	accelerated	0.058643987178581214	0.7393331240728275
6187	5	5	20845863	accelerated	0.058732497252495186	0.7384203558676723
5794	5	5	20845863	constrained	0.05883478574982358	0.7376853328031159
7327	5	5	20845863	accelerated	0.05891569622711834	0.7366870026873189
4341	4	4	6850431	accelerated	0.059277235930705	0.7391935752337099
1042	4	4	10845863	constrained	0.05948052603829094	0.7397185202973363
7061	5	5	20845863	accelerated	0.05953976271846162	0.7384539759865415
4175	4	5	5567862	accelerated	0.05961353129170499	0.7373759975677473
6393	4	4	6850431	accelerated	0.05984956504447381	0.7383055214760492
6698	5	5	20845863	constrained	0.05997218934076921	0.7378347905758442
6151	5	5	20845863	accelerated	0.05997631176799578	0.7359125526827076
5736	5	5	20845863	constrained	0.06014551437777702	0.73602070794565
2365	4	5	5567862	accelerated	0.06015971586903357	0.734236532242008
6690	5	5	20845863	accelerated	0.06016517273292943	0.7323553784387618
6261	5	5	20845863	accelerated	0.06044232236033209	0.7337825854803279
4640	5	5	20845863	accelerated	0.060803826046767706	0.7362236351678548
6740	4	5	5567862	accelerated	0.06098370196858949	0.7364584429838347
8910	4	5	8845863	constrained	0.06098678931844636	0.7345626671452765
784	4	4	3074060	accelerated	0.061262863164115444	0.7359562279060884
4480	5	4	4750372	constrained	0.06160937945270811	0.7381865334425001
4181	5	5	20845863	constrained	0.06173546225461247	0.7377709278292098
5853	4	5	8845863	constrained	0.06192927934545537	0.7381648387436225
5715	5	5	20845863	accelerated	0.06234858974216251	0.7412375086186107
4262	4	4	3074060	accelerated	0.06237689370515942	0.7396577912480015
1458	5	5	20845863	accelerated	0.06280126106919104	0.7427705851714372
7954	4	4	10845863	accelerated	0.06283750794746656	0.7412887505679281
8034	4	4	2401596	accelerated	0.06292731303231824	0.740444716680278
2144	5	5	20845863	constrained	0.06308407875728539	0.740390888534994
264	5	5	20845863	accelerated	0.06344768762396402	0.7427587716999257
5452	4	5	5567862	constrained	0.06392715051060713	0.7464674139775473
